id,Текст Сообщения,Тематика,Ответственное лицо,Ответственное,persons
457,"<p>добрый день!29 апрель портал госуслуга подать заявление выплата 3 7 лет. доход многодетный прошли. проверка гибдд, оказаться мы числиться третий машина. выплата отказали. &nbsp;договор купля продажа рука 2014 года. &nbsp;уточнить машина 1993 год выпуска, т.е. старые. снять гибдд учёт подавать суд розыск. почему просто принять договор купля продажи? основание рассмотреть заявление выплату.&nbsp;</p>",нарушение вопрос назначение выплата пособие компенсация,"Комитет социального обеспечения, материнства и детства Курской области",61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2589,"сквер изумрудный, разрисовать сломать малый архитектурный формы, машинка, отсутствовать урны.",неудовлетворительный содержание парковый сквер,Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
2942,"дать отопление ул. к. маркс 33/41 ?1 октябрь дать тепло утро 2 час выключили. выходной житель промерзли, сегодня понедельник 04 октября. отопление сей пора нет. брать плата обслуживание дом ,ести черта делают? кто-нибудь курск отвечать это? решение проблема отопление писать путину?",нарушение теплоснабжение многоквартирный дом,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2019,"постамент памятник пушкин сторона осыпаться разваливается! это допустимо, центр города!",неудовлетворительный санитарный состояние благоустройство памятник,Комитет по культуре Курской области,52,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2164,провал грунт место проведение работа,несвоевременный восстановление нарушить благоустройство проведение ремонтный работа,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1578,"<p>плохой снабжение холодный вода дом ул. школьной, вечерний время надлежащий напора, вечером, утром невозможно нормально принять душ. просить разобраться причина мочь нормально пользоваться холодный вода дом 5/12 ул. школьной.</p>",некачественный водоснабжение многоквартирный дом,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2014,"безнадзорный собаки. один коричневая, фото. вторая-черно-белая. оба девочки.",безнадзорный животное,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2787,ям асфальт заполняться водой. проезд автомобиль вода выбоина брызгать сидеть лавочка,ям выбоина внутридворовый проезд тротуар район многоквартирный дом,Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
2045,"отсутствовать тротуар район торговый центр `октябрьский`, расположить адресу: улица 50 год октября, 141, являться нарушение п.4.5.1.3 гост р 52766-2007, согласно который тротуар располагать оба сторона дороги.",необходимо строительство тротуар,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
945,"<p>ич прилегать территория близь детский площадка в.клыкова, д. 15 многочисленный сухой деревья, который создавать опасность окружающих. просьба принять мера устранение аварийный деревьев.</p>",аварийный дерево,Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
2291,свалка мусор,несанкционированный свалка твёрдый бытовой отход,Администрация Курского района,11,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1056,"<p>возле почтовый отделение 307753 находиться дерево который сильный ветер начинать скрипеть ломать. просить спилить дать деревья, дерево угрожать здание т.к. мочь упасть здание людей, который мочь проходить рядом. надеяться услышать прислать отписку.</p><p><span style=`color:hsl(0, 75%, 60%);`><strong>ый выполнить работа хотеться увидеть фотоотчет.</strong></span></p>",аварийный дерево,Администрация города Льгов,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
943,"<p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>добрый день! в&nbsp;многоквартирный жилой дом по&nbsp;адресу: г. курск, &nbsp;ул. ватутина, д.20, месяц отсутствует&nbsp;горячий водоснабжение в&nbsp;связь с&nbsp;ремонт сеть пао «квадра». возобновление 6 сентябрь дать услуга &nbsp;из&nbsp;кран горячий вода течь мутный холодный вода неприятный запахом, напор вода слабый, полотенцесушитель в&nbsp;вать комната холодный. &nbsp;ук курск дать ситуация ссылаться недостаточный давление подача вода &nbsp;пао «квадра». просить оказать содействие в&nbsp;решение указанный проблемы.</span></p>",некачественный водоснабжение многоквартирный дом,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1749,"<p>возле сквер район майский бульвар - мыльников образоваться территория, который никто убирает, вырубать заросли. создаться благоприятный среда помойка алкашей. что, собственно, иметь дать территории.</p>",несанкционированный свалка твёрдый бытовой отход,Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
2139,разбитый дорожный покрытие участок д. неваря - галицино-кузнецовка дмитриевский район,нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет транспорта и автомобильных дорог Курской области,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
791,"<p>ич пешеходный дорожка ул. студенческий напротив дом 18 (за автобусный остановкой) провалиться асфальт. &nbsp;с момент фотоп роидти 15 дней, яма огородить засыпана. место асфальт провалиться раз (ить больше) последний 2 года, внизу труба отопления, люк рядом часто идти пар. закрыть яма разобраться трубами, явно проблема, проваливакаться один месте. кипяток фонтаном, это пешеходный дорожка, гуляют, ребёнок много!&nbsp;</p>",ям выбоина тротуар,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
2917,"адресу: г. курск, проспект надежда плевицкой, д. 25 неисправный освещение детский площадки. ук `альфа` предпринимать ремонт заявка жильцов.",неработающий наружное освещение,Государственная жилищная инспекция Курской области,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
1922,расчистить дорога. пройти два неделя обильный снегопада. просить произвести работа расчистке.,очистка снег наледь дорога граница городской округ сельский поселение,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
437,"<p>пешеходный дорожка дом 25 улица курский убрать прошлогодний листвы.<br>от пешеходный переход стоматология детский сад №8, пельменный пересечение вышеуказанный пешеходный дорожкой. лист собрать кучи, вывезены.</p>",неудовлетворительный уборка улица тротуар,Администрация города Железногорска,33,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
184,"<p><span style=`background-color:rgb(239,239,239);color:rgb(38,38,38);`>ввести пожалуйста нормальный терминал оплата транспорте,чтый б тянуться водитель передавать карту,телефон.очень грамотно план сделать белгороде</span></p>","нарушения, связанный оплата проезд осуществление муниципальный (пригородных) перевозка",Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
655,<p>просить пустить автобус большой вместимость маршрут жд вокзал-волокно. данный автобусный маршрут пополярный пользоваться спросом.&nbsp;</p><p>такж хотеться увидеть новый автобус большой вместительность 220 маршруте.&nbsp;</p>,недостаточный количество транспорт маршрут осуществление муниципальный (пригородных) перевозка,Департамент пассажирского транспорта города Курска,40,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1386,"<p>добрый день! скажите, пожалуйста, решить проблема доступность врача? бюрократия катострофичная, попасть аллерголог областной детский больница нужно сходить взять направление участковый педиатра, затем записаться телефон врач-аллергологу,гда запись два недели, снова день сходить участковый педиатр взять справка эпидокружении.ть идти врачу, ребёнок заболеть нужный помощь, итог туда сюда, таскать кабинетам, получить заветный направление.&nbsp;</p>",неудовлетворительный качество оказание медицинский помощь,Комитет здравоохранения Курской области,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
536,"<p>добрый день!<br>подсказать обратиться снос аварийный дерева. дерево 50 лет. расти прямо окнами, уходить корень крыльцо квартира первый этаже. высота дерево наш 4-й этажный дома. каждый год оно всё наклоняется. падать вместе корнем, разнести крыльцо стена квартире.&nbsp;</p>",аварийный дерево,Государственная жилищная инспекция Курской области,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
2989,"разрушить забитый люк ливневый канализации, следовательно образоваться огромный лужи.",ливневый канализация,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
583,"<p>добрый день!</p><p>когда быть перекрасить автобусы</p><ul><li>м 178 рх 46 &nbsp;лиаз-5256.23-01 (голаз)</li><li>м 343 му 46 лиаз-5256.23-01 (голаз)</li><li>н 293 ут 46 лиаз-5256.36</li><li>н 810 ува 46 лиаз-5256.36</li></ul><p>пора начать перекрашивать</p><p>​​​​​​​такж забыть салон, покрасить поручни.<br><br data-cke-filler=`true`></p><p><br data-cke-filler=`true`></p><p><br data-cke-filler=`true`></p>",неудовлетворительный санитарный состояние транспорт осуществление муниципальный (пригородных) перевозка,Комитет транспорта и автомобильных дорог Курской области,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
1085,"<p>когда начать вводить штрафной санкция отношение житель город льгова, почему разместить каждый мусорный площадка памятка житель выносить мусорный площадка нельзя, понимать организовать слаженный работа житель региональный оператором, наш случай экополом. считать пора наделять полномочие мвд выписывать штраф несоблюдение правило использование мусорный площадок.&nbsp;</p><p>наглядный пример, нарушение житель служить мусорный площадка ул. свердлова, житель носить площадка попало. надават начать ремонтировать площадка устанавливать больший контейнер обычный мы мусор отдельно контейнер ветка другой мусора.&nbsp;</p><p>фото взять открытый источников.&nbsp;</p>",соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Администрация города Льгов,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
602,"<p><strong>брошенный автомобиль сухой траве, газопроводом. опасность возгорания, взрыва.</strong></p>",нарушение правило пожарный безопасность сфера природопользование,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
2556,"работать фонарь год, заявка делать неоднократно. угол дом 5 рядом пешеходный переход",неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1158,"<p>просить отдать маршрут курск-рыльск отправление курск 12:20 курчатовавтотранс, пускай автобус данный предприятие осуществлять перевозка пассажир дать маршруту. первый один время отправляться сразу 2 автобуса, автобус большой вместимость мелкий автобус, данный автобус ехать курск рыльск, рыльск возвращаться сразу курск курск следовать курчатов, такой образ сократить минимум 2 рейс атэла курск-рыльск 11:10 12:20 рейс рыльск-курск т.к. автобус большой вместимость увести народа.&nbsp;</p><p>темболее взять отзыв пассажиров, очень довольный атэл.&nbsp;</p>",неудобный график движение осуществление муниципальный (пригородных) перевозка,Комитет транспорта и автомобильных дорог Курской области,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
1526,"<p>здравствуйте. четверг (10.02.2022) почувствовать недомогание, кашель, температура свыше 38 градусов. следующий день (11.02.2022) утром вызвать врач первый поликлиника г. курска. приход врач обратиться частный клиника днкома взятие пцр-тест коронавирус. врач поликлиника взять мазка пцр-теста. суббота (12.02.2022) прийти сначала результат частный клиника (положительный, определение штамм омикрон, результат прилагаю), далее несколько час - отрицательный, который брать специалист поликлиники. портал госуслуга данный момент отображаться отрицательный результат (в клиника позвонила, повторно отправить результат положительный теста, обещали, скорый время появится) поликлиники. соответственно, первый поликлиника коронавирусный инфекция нет, повторно я никто связывался, полагаться бесплатный лекарство назначал. &nbsp;больничный лист открыть завтра (15.02.2022).&nbsp;<br>ть данные обстоятельство просить ваш помощь решение сложиться ситуация - постановление правильный заключительный диагноз поликлинике, получение положить лекарств, решение вопрос продлением/закрытие листок нетрудоспособность получение сертификат переболеть новый коронавирусный инфекцией.<br>телефон связь - +79045300165</p>",сертификат переболеть,Комитет здравоохранения Курской области,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
1413,"<p>добрый день, звать дубровский елена, руководитель молодёжный &nbsp;организация лдпр курск, увидеть пост формирование бюджет год, рамка проект `городской среда`. вопрос:` распределиться бюджет программу? `<br>`по какой критерий быть выбираться объект реализация дать программы!? `<br>уже 2 год партия лдпр писать прошение установка детский площадка адресам:герцен 2, площадка находиться аварийный состоянии. республиканский 46,площадка снесли, новый установили, 3 года.&nbsp;<br>район дериглазова- кирпичный переулки- площадка советский образца, находиться аварийный состоянии.&nbsp;<br>всё обращение ответ администрация находиться руках!&nbsp;<br>просьба обратить внимание дать адреса, реализация данный проекта.</p>",неудовлетворительный содержание спортивный площадка (сооружений),Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
2113,мусор контейнерный площадка разбросан.,соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
658,"<p>добрый день!</p><p>хотеться поднять вопрос детский площадки. двор три многоквартирный дом детский площадка плачевный состоянии. старый детский объект срезать убирают, новый замена ставят. несколько год красят, это спасать разрушение порчи. плюс сам площадка превращаться стоянка машин. хотеться привести порядок ребёнок площадку, безопасно играть.</p>",неудовлетворительный содержание детский (спортивной) площадка территория многоквартирный дом,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2484,"проблема конечный остановка трамвай `автовокзал` прилегать территории. зарасти бурьяном. весь летний сезон единый покос травы. иметь рост 163 смотреть некоторый случай трава репей выше мой роста. казаться бы, автовокзал людный место содержать нужно хотя минимуме, нет. ходить страшно, особенно вечерний время. ещё плохой вечерний утренний время выходной дни, т.к. этот заросль ночевать трезвый адекватный люди. сути, конечный остановка прилегать территория превратиться притон алкаш общественный туалет. хотя посадить целый аллея лип, говорить том, некогда территория вестись уход. достаточно больший дерево просто зарастать бурьяном. да, прийти осень списать то, зима высохнуть растение останется. нет, остаться сухостой семена. последний очередь следующий год ситуация улучшат, сделать плачевнее. просить принять мера покос трава конечный трамвайный остановка прилегать территории.",нескошенный сорный растительность место общий пользование микрорайон ижс,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
2148,год лежать огромный пни спилить деревьев.,некачественный уборка дворовый территория многоквартирный дом,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
931,"<p>добрый день!<br>13.07.2021 г. дом адрес г. курск, ул. ленина, д. 8 отключить горячий воду. изначально срок подача горячий вода - 27.07.2021 г., но, согласно повторный объявлению, дата перенести &nbsp;16.08.2021 г. затем срок неоднократно менялись: 23.08.2021, 30.08.2021, 31.08.2021, 01.09.2021.<br>ть обращаться горячий линия курский филиал пао `квадра` 23.08.2021 31.08.2021. срок подача воды, назвать сотрудником, соблюдены. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 07.09.2021 г. повторно позвонить горячий линия пао “квадра”, сотрудник организация ответить следующее: “вод обещать дать завтра.” также сообщил, точно знает, горячий вода, отключился. &nbsp;считать поведение данный сотрудник некорректным. &nbsp;<br>горячий вода 2 месяца, ремонтный работа центр город проводиться очень медленно. несмотря ухудшение погодный условий, пао “квадра” торопиться восстановить подача горячий вода вышеуказанный адресу. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; просить повлиять сложиться ситуацию.&nbsp;</p>",некачественный водоснабжение многоквартирный дом,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1539,"<p>здравствуйте. просьба отсыпать фрезерат &nbsp;участок дорога улица просторная, выделить полигон складирование снег ,согласно распоряжение администрация город курск номер 1962-р . 2018-2019 год этот дорога сделать счёт местный житель . 2021 2022 год дорога разбить тяжёлый техника , складировать снег участок граница участок . весна ,во время таяние снежный масса ,эта дорога смыть талый вода &nbsp;. выделить участок многодетный семьям. убедительно просить отсыпать участок дорога . &nbsp;длин 300 метр . считать расчёт ширина дорога 2 метр высота покрытие 10 смотреть , просить выделить 60 м3 фрезерата. фото карта прилагать . участок, который необходимо отсыпать выделить красный цвет .&nbsp;</p>",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Администрация Центрального округа города Курска,28,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
1777,"<p>постамент скульптура “спутник” находиться аварийный состояние - развалиться штукатурка, кирпичный основа. скверик хороший вид - обветшать лавочка дорожки. 100м администрация города!</p>",неудовлетворительный санитарный состояние благоустройство памятник,Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
562,"<p>ич протяжение месяц каждый дождь затапливаться дейнека 34, подъезд №6, квартира 5 1 этаж. 1 этаж вода литься розеток, затапливаться электрощиток подъезде, испортить ремонт многий квартирах. управлять компания ук партнёр предпринимать большинство случай отвечать звонки. сегодня пройти дождь - квартира потоп. мы, жилец подъезда, требовать решить проблему.</p>",длительный неисполнение заявка управлять компания,Государственная жилищная инспекция Курской области,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
323,"<p>просить убрать организовать уборка мусор субботник адрес сторожевой улица, 6а прилегать территория коммунистический 3. фото отметить участки.<br>ссылка яндекс карта https://yandex.ru/maps/geo/kursk/53057385/?l=sat%2cskl&amp;ll=36.180144%2c51.744947&amp;source=wizgeo&amp;utm_medium=maps-desktop&amp;utm_source=serp&amp;z=19</p>",неудовлетворительный уборка улица тротуар,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1454,"<p>добрый день! вопрос установка детский площадка адресу:курск, ул. герцен д. 2.уже 3 год обращаться просьба установки, ответ администрация получать письмо предложение программа “гор.среда” “народный бюджет”, кой предполагать сбор средство жилец дома. площадка советский образца, конструкция шаткие, травмоопасные. просьба обратить внимание проблема установить счёт бюджетный средство площадка двор дома:герцен 2</p>",неудовлетворительный содержание спортивный площадка (сооружений),Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
483,"<p>добрый день!</p><p>вот интересно какой пора будить пускать маршрут трамвай который невозможно едить, первый грязные, второй крыша лететь кусок краски.&nbsp;</p><p>просить привести порядок трамвай номер 7178, счистить старый краска штукатурка покрасить зелёный цвет.</p>",неудовлетворительный санитарный состояние транспорт осуществление муниципальный (пригородных) перевозка,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
228,"<p>здравствуйте. вывозиться накопить мусор территория снт “мичуринец”. мусорный бак переполненные, животное растаскивать мусор весь территории. мусорный бак вывозиться месяца. территория превратиться мусорный свалка бродячий животными. это находиться около &nbsp;управление снт. ,но председатель правление реагировать просьба жителей: убрать мусорный свалка около домов.</p>",соответствовать установленный норма сбор вывоз твёрдый бытовой отход территория частное сектор,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2628,"непогода 02.08.2021дый сей пора сломать дерево висеть проводы пересечение улица малый нижний набережная. это представлять угроза здоровье пешеход привести дтп т.к. обходить приходиться оживлённый трассе, лишить жилец улица электричество сегодня 07.08.2021.",аварийный дерево,Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
45,<p>хотеть поинтересовиться начаться строительство новый дет.садикать мик-не сах. завод (в г. льгов)? хотеться 2021 год наш детишки послать новый садик. также какой новый соц. значимый объект быть построить наш городе. хотеться мбоу сош 2 снести поставить новый здание. новый дет. сад пострыть пустырь рядом сбербаннок напротив жд вокзала. территория позволять прийтись пустовать территории.&nbsp;</p>,отсутствовать (неактуален) паспорт строительный объект,Администрация города Льгов,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
319,"<p>просить организовать субботник доля трамвайный путь жд округ г. курск ул. театральная. мусор очень много, никто убирать хотеть убирать. проделать работа просить прислать фото отчёт.&nbsp;</p>",несанкционированный свалка твёрдый бытовой отход,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1201,"<p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>прогуливаться пешеходный дорожке,&nbsp;под балкон около дом №&nbsp;3, газон приход осень наблюдиться не&nbsp;очень хороший картина ввид опасть листвы.переть ветер листва начинать разлетиться &nbsp;всый территории.так же, хотеться обратить внимание корень дерево который оставить спиливания.</span></p>",неудовлетворительный содержание клумба газон,Администрация Центрального округа города Курска,28,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
94,"<p>просить направить питься ип татаренко пустить маршрут &nbsp;льговый - сах. завод-льгов пазик (паз-4234 (00, t0, k0, b0)). газель вмещается.&nbsp;</p>",недостаточный количество транспорт маршрут осуществление муниципальный (пригородных) перевозка,Администрация города Льгов,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
743,"<p>ть куст газон квадра стая бродячий собак, 4 штуки, небольшой чёрный коричневый окраса, агрессивные, нападать велосипедистов.</p><p>1.08.2021 один укусить ногу, проезжать велосипед мимо дороге, мочь спровоцировать дтп.</p><p>обратиться бсмп, назначить курс антирабический уколов.</p><p>просить произвести отлов агрессивный безнадзорный животных.</p>",безнадзорный животное,Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1091,"<p><span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`>ещ везде считывать устройство qr-r кодов. ходить распечатать сертификатом, прислать госуслуга показывать телефоне.</span><br><br><span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`>ный там, устройство сегодня узнала, qr-код считывается. того, услышать сотрудник кафе, проводить процедуру, поддельный. это полезно эмоциональный состояния, который необходимо стабилизировать выходные, слово просто нет.</span><br><br><span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`> теперь, представьте, самый где-нибудь сказать бабушка 80 лет... который распечатать сертификат полный уверенности, госуслуг, порядке</span><br><br><span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`>решить провести мониторинг. заслать дорога торговый центр. проверять выражение выбирать - вполне корректны. сказали, база - `наверное, туда кинули`.</span><br><br><span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`>ич госуслуга написать - обращение приняли. написали, ответ должный дать завтра.. получить письмо, переадресовать вам</span></p>",сертификат вакцинировать,Комитет здравоохранения Курской области,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
1468,"<p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>на&nbsp;столба гореть светильник.</span></p>",неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
568,"<p><span style=`background-color:white;color:black;`>здравствовать !!! &nbsp;сточный водами&nbsp;с ул марат пересечение ул ендовищенский ул береговой сильно подмыть дорожный полотно,&nbsp;ть близкий время больший возможность провал дорожный полотно вместе автомобилем</span></p>",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
696,"<p>прямой поворот ул звёздная, куст скоро перекрыть тротуарный часть! лето раз куст срезались! куст размер деревья! кто-то умудриться подпилить куст верхушки, стало! куст наваливаться тротуар! скоро знак дорожный видно выезд улица звездная! нужно срезать куст ул звездная+убрать сразу срезать кусты, поскольку оставить, завалить весь тротуар газонный часть стог “сена”!!!&nbsp;</p>",неудовлетворительный уборка улица тротуар,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1847,"здравствуйте! проживать квартира 3 подъезд улица орловской, 1 «а», везде идти санитарный обработка из-за коронавирус covid–19. сообщаю, ооо ук «мыть дом» обрабатывать подъезд орловской, 1 «а», учёт высокий смертность это преступление!",неудовлетворительный уборка освещение место общий пользование многоквартирный дом,Государственная жилищная инспекция Курской области,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
