id,Текст Сообщения,Тематика,Ответственное лицо,Категория,Ответственное,persons
1969,"остановка патп сторона пучковка - остановка оборудована, останавливаться фуры.",нарушение правило посадка высадка пассажир осуществление муниципальный (пригородных) перевозка,Администрация города Курска,8.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
420,"<p>добрый день.ть сообщать проблема скачка напряжения.номер обращение <span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>№:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>74558.прошлый два недель. сказать пожалуйста решение проблема нет.спасибо</strong></span></p>","нарушения, связанный содержание электросеть качество энергоснабжение район частное сектор",Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
1820,"<p>отсутсвовать тротуар вдоль дом 41 подъезд 2 подъезд 3. &nbsp;выход прямо проезжий часть, машина парковаться там, должный тротуар, нет. настоящий время идти благоустройство дорога пешеходный тротуар доля дом подъезд 1, 3,4,5,6. подъезд №2 почему-то исключить программа благоустройста. &nbsp;хотя соседний дом - такой угловом, запольный 41а, такой угловой подъезд иметься нормальный выход подъезд тротуар подъезд соединить общий тротуар 1 6. должный дом запольный 41! выход подъезд 2 запольный 41 должный тротуар, причём сторона подъезд №1 сторона подъезд №3 организовать такой образом, житель подъезд беспрепятственно проходить пешком коляской, коляска вдоль дом пешеходный зона направление подъезд 3, 4, 5, 6. подъезд 1 сейчас. настоящий время житель подъезд №2 выйти попадать тесно стоящий припарковать машины. &nbsp; предпринять попытка благоустройство привести усугубление проблема вдоль дом проход стать невозможен, особенно коляской. срочно что-то решать, пока дорожник класть гравий начать асфальтирование. нужно сделать выход подъезд №2, это прописать градостроительный кодекс - тротуар, дорогу=парковку.</p>",необходимо строительство тротуар,ООО `УК Курска`,3.0,74,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
475,"<p>добрый день двор подъезд стоить люк прикрыть железный крышкой, бетонный подходящий размер “крышкой” который весь шататься любой прикосновение ней, очень маленький ребёночек наш дом соседний домах, пожалуйста принять мера закрыть люк, должный быть!&nbsp;</p>",отсутствие люковый коммуникационный колодец,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2479,"многоквартирный дом ул. пер.школьный, д.10 дворовый освещение",неработающий наружное освещение,Администрация Горшеченского района,3.0,4,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
956,"<p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>добрый день! в&nbsp;многоквартирный жилой дом по&nbsp;адресу: г. </span><span style=`color:rgb(102,102,102);`>курск</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>, ул. ватутина, д.20, месяц отсутствовать горячий водоснабжение в&nbsp;связь с&nbsp;ремонт сеть </span><span style=`color:rgb(102,102,102);`>пао «квадра»</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>. возобновление </span><span style=`color:rgb(102,102,102);`>6&nbsp;сентября</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`> дать услуга из&nbsp;кран горячий вода течь мутный холодный вода с&nbsp;неприятный запахом, напор вода слабый, полотенцесушитель в&nbsp;вать комната холодный. </span><span style=`color:rgb(102,102,102);`>ук</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`> </span><span style=`color:rgb(102,102,102);`>курск</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>а&nbsp;в&nbsp;дать ситуация ссылаться на&nbsp;недостаточный давление подача вода </span><span style=`color:rgb(102,102,102);`>пао «квадра»</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>. просить оказать содействие в&nbsp;решение указанный проблемы.</span></p>",некачественный водоснабжение многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
1418,<p>прилегать дом территория очистить снега.</p>,несвоевременный очистка дворовый территория многоквартирный дом наледь снег,Ответственный ПМИ,3.0,79,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
114,"<p>просить привлечь московский нии автомобильный транспорта, решение проблема автотранспорт г. льгов. последний время соц. сеть начать обсуждать частный перевозчик соблюдать график движение автобусов, связь это просить привлечь специалист разработать новый схема движение общественный транспорт расписание движения. также просить дать поручение проработать схема движение автомобильный транспорт ул. железнодорожная, этот часть город прежде оставаться автобуса. &nbsp;такж просить проработать вопрос насчёт брендирование автобус приобретение автобус большой вместимости. давать участвовать проект “национальный проект россии” &nbsp;мочь мы помочь приобретение автобус большой вместимость города. давать шевелится.&nbsp;</p>",неудобный график движение осуществление муниципальный (пригородных) перевозка,Комитет транспорта и автомобильных дорог Курской области,8.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
39,"<p>просить поставить маршрут льгов (ас)-сах.завод газелька пазик. утром пробовать уехать, пробовать вышло, маршрутка мало мест. ип татаренко автобус № м 168 ас 46, автобус № м 351 ук 46 котрый видеть какой маршрутах. просить поставить маршрут. также уб.просьба менять перевозчик дать маршруту, т.к. весь устаривает, единственный просьба поставить маршрут пазик.</p>",неудовлетворительный санитарный состояние транспорт осуществление муниципальный (пригородных) перевозка,Администрация города Льгов,8.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
775,"<p> иметься ребёнок звягинцев дмитрий евгениевич 04.07.2018 г.р., который получать детский пособие карта мир. судебный пристать списать счёт погашение мой задолженность денежный средства, предназначить ребенку.&nbsp;</p>",нарушение вопрос назначение выплата пособие компенсация,"Комитет социального обеспечения, материнства и детства Курской области",10.0,61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
1987,груда мусор пересечение ул.черняховский 16 1-й краснополянский переулка.уже месяц никто убирать никто дела.примитя меры.,несанкционированный свалка твёрдый бытовой отход,Администрация города Курска,16.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
215,<p>торговля попрошайничество &nbsp; надземный переход тц гринна тц олимпийский особенно выходной день &nbsp;уже второй год администрация цо делать устранить это безобразие &nbsp; 100 администрация цо &nbsp; &nbsp;</p>,несанкционированный торговля,Администрация города Курска,13.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
769,"<p>тротуар плитка разрушается, необходимо восстановить.</p>",ям выбоина тротуар,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
63,"<p>просить установить дорожный знак, именно название улица “ул.фрунзе` многие человек путаться ехать туда.</p>",дорожный знак дорога микрорайон ижс,Комитет транспорта и автомобильных дорог Курской области,0.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
36,"<p>ул.литейный очистить снега, также почистить обочина дать дорога молчать просыпку. просить почистить дорога ул.литейной, ул.и.франко ул.глинко, чернышевский &nbsp;посыпать песком. также будт добрый прислать фотоотчет.</p>",очистка снег наледь дорога региональный межмуниципальный значение,Администрация города Льгов,0.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
1960,день добрый. просить сообщить срок ввод эксплуатация освещение автодогореть фатеж дмитриев населить пункт верхний жданово. срок указанный паспорт объект 12.2020. просить указать дата ввод эксплуатацию?,освещение дорога региональный межмуниципальный значение,Комитет транспорта и автомобильных дорог Курской области,0.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
1523,<p>вый двор дом проспект дружба дом 17 освещения&nbsp;</p>,неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3.0,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
54,"<p>просить устранить неисправность &nbsp;освещение ул.литейной. освещение гореть 5 опорах, протяжённый улица это очень мало. просить установить освещение хотя ж/б опору.</p>",неработающий наружное освещение,Администрация города Льгов,3.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
1021,"<p>здравствуйте. наш адрес г. курск, ул серёгин 30, подъезд №2. двор дом один фонаря.&nbsp;</p>",неработающий наружное освещение,Комитет городского хозяйства города Курска,3.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
2181,вдоль дорога тротуар песок. ходить невозможно.,неудовлетворительный уборка улица тротуар,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1834,"почему проспект в.клыковый дом 39 второй подъезд, холодно квартирах?! почему плач отопление ещё должный платить электричество приходиться включать обогреватель?! труба еле тёплые!",нарушение теплоснабжение многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
2834,гусеница американский бабочка,порча земля,Комитет городского хозяйства города Курска,16.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
609,"<p>центр города, стыдно.&nbsp;</p><p>ходить невозможно.</p><p>просить принять меры.</p>",пешеходный переход дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1366,"<p>ич 9 суворовской переулок убрать снег, снег расчистить куча обочина остаться лежать так, пешеход негде ходить! человек приходиться идти дорога машина очень близко рисковать жизнь время гололеда! почему машинай снег убрать пешеход никто думает? единственный тротуар напротив магазин пиво завалить снегом, который сгрести вокруг звёздный 11. убрать снег человек ходить!&nbsp;</p>",очистка снег наледь дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
2939,знак внимание закрывать знак уступить дорогу. движение полосам.,дорожный знак дорога граница городской округ сельский поселение,Комитет транспорта и автомобильных дорог Курской области,0.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
1871,"роман владимирович, улица ким местный администрация убрать свалка около полугода, почему? сказать нужный правильный толчок уборке. спасибо ждать решение вопрос",несанкционированный свалка твёрдый бытовой отход,Администрация города Льгов,16.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
2161,"добрый день. просить сообщить номер дата нормативный акта, который устанавливать ограничение часам, который иметь ребёнок дополнительный образовании. сообщаться 144 часах, который ребёнок посещать бесплатно подача заявка навигаторе46",неудовлетворительный качество работа преподаватель другой персонал учреждение дополнительный образование,Комитет образования и науки Курской области,7.0,51,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1803,"<p>ть район поворот основной дорога двор дом ул. сумская, 7 расположить огромный дерево, часть который свисать проезжий часть трамвайный путями, создавать риск обрыв проводов, также падение ветвь автомобили. просить рассмотреть вопрос опиловка аварийный частей.</p>",аварийный дерево,Комитет городского хозяйства города Курска,3.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1143,<p>ть период 6 7 ноябрь появляться неприятный запах грибной радуга (кратковременно)</p>,неприятный запах,Комитет природных ресурсов Курской области,16.0,59,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
2245,"неправильный работа система обратный отсчёт светофорный объекта, транспортного, пешеходный светофора.",светофор дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1604,<p>содержание уборка придомовый территории</p>,неудовлетворительный уборка освещение место общий пользование многоквартирный дом,ООО `УК `Северный дом`,3.0,72,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1868,плохой напор холодный вода квартире.,некачественный водоснабжение многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
1936,"уважить ответственный люди, двор домостроитель такой больший ямы, просто афигеть можно, диспетчерская звонить внятный ответ дал, просить привлечь завод устранить ямы, пускай бетоном. ждать решение проблемы. именно ям расположить съезд главный дорога сторона п.искра. ям расположить около дом 1 проспект дериглазов",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1795,<p>добрый день. &nbsp; просьба отрегулировать светофор перекрёсток улица дзержинский верхний луговой дзержинский а.невского. зелёный светофор (ещё примерно 20 секунд) проехать светофор невозможно.</p>,светофор дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
866,"<p>добрый день. обратите, пожалуйста, внимание состояние дорожный покрытие южный переулке. жить 8 лет, это время дорога раз ремонтировалась.</p>",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
2773,"здравствуйте. обуза `железногорский городской больница` адрес г. железногорск, ул. курская, д.76 выписывать рецепт льготный лекарства. 16 август 68 раз дозвонилась, сделать заявка рецепт, её приняли. несколько день обратиться регистратура рецептом, оказаться 16.08 настоящий время, ходить ним, сей пора рецепт нет, вопрос почему рецепт отвечать кто обратиться этот повод ответ нет. подсказать обратиться? 2 неделя нужно выписывать следующий рецепт, предыдущий получу.",нарушение связанный обеспечение лекарственный средство,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
997,"<p>по адресу: г.курск, южный переулок, напротив дом №15 канализационный колодец проводиться работы, связанный водоотведением. канализационный колодец находиться посередине автомобильный дорога общий пользования. связь проводиться канализационный колодец работами, произойти разрушение верхний часть указанный колодца, также асфальтовый покрытие автомобильный дорога общий пользования, примыкать колодцу. движение автомобильный транспорт южный переулок ограничено, также осуществляться нарушение безопасность дорожный движения, связанный угроза жизнь пешеходов, лиц, управлять автотранспортный средствами. просить принять мера устранение вышеуказанный разрушений.</p>",несвоевременный восстановление нарушить благоустройство проведение ремонтный работа,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3.0,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1576,<p>ич мочь получить сертификат</p>,тестовый категория,Ответственный ПМИ,12.0,79,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
84,"<p>просить очистить повалить дерево пасадка расположить возле дом 22 2-у переулок фрунзе. вычистить наконец-то пасадку, победит тополя, гулять родитель детьми, ребёнок пораниться осколок. давать собрать субботник вычистить пасадка вместе.&nbsp;</p>",несанкционированный вырубка зелёный насаждение лесопарковый зона,Администрация города Льгов,16.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
2693,"здравствуйте, просить разъяснить /дать ссылка закон, который указать ,что ребёнок календарь вакцина рождение ставить бесплатно поликлиника 2 прививка вакцина пентаксим , 3ю ставить акдс .( весь известно, её тяжёлый переносить ребёнок ) вопрос следующем: почему 3я бесплатный прививка именно акдс почему, хотеть её ставить свой ребёнку, должный купить сам вакцина ?",неудовлетворительный качество оказание медицинский помощь,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
801,"<p>добрый день!</p><p>по ул. белинского, около дом № 8, обломиться часть дерево упасть тротуар забор, который наклониться сторона тротуара. учитывать изложенное, проход пешеход дерево &nbsp;ь создавать опасность жизнь здоровья. просить принять соответствующий меры. &nbsp;</p>",аварийный дерево,Комитет городского хозяйства города Курска,3.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
2117,забитый ливневый канализация отсутствовать решетка. просьба её установить поломать нога ребёнок родитель рядом находиться детский дом искусство ритм. ￼￼,ливневый канализация,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2610,"зарасти трава перекрёстке, обзор ограничить",неудовлетворительный содержание клумба газон,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
361,"<p>здравствуйте!&nbsp;</p><p> г. курск замечательный парк железнодорожников, кроме памятник нет, хотеться данный парка появиться спортивный тренажёр детский площадка. &nbsp;с один сторона парк спортивный тренажёр сторона парк детский площадка.&nbsp;</p>",плохой материально-технический оснащение учреждение физический культура спорт,Администрация города Курска,15.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
892,<p>ич прийти qr код вакцинации</p>,сертификат вакцинировать,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2977,"добрый вечер! помочь разобраться проблема вывоз мусор контейнерный площадка адресу: курск, ул. гагарина, д. 14. антисанитария полнейшая!!!",соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Комитет городского хозяйства города Курска,3.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
10,"<p><strong>здравствуйте. &nbsp;с 30 ноябрь 2020 год наятоящий время, т.е. 15.12.2020, &nbsp;по улица сосновый дом 2 &nbsp;отсутствовать вода. &nbsp;ближайший колонка, набрать вода 3 км дома.</strong></p><p><strong>неоднократно телефон письменно обрщалась: курскоблводоканал (ответ нет), &nbsp;ть администрация щигровский района, 14.12.20 получить ответ, сентябрь 2020 год поставить новый мотор скважину, &nbsp;установить навать автоматический система т.д &nbsp;этый &nbsp;фикция отписки. &nbsp; &nbsp; &nbsp;когда восстановить &nbsp;водоснабжение.</strong></p>",некачественный водоснабжение район частное сектор,Администрация Щигровского района,3.0,29,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1527,<p>открытый люк</p>,отсутствие люковый коммуникационный колодец,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3.0,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2748,"добрый день, проживаем:курский район, деревня кукуевка. 26 апрель 2021 год заключить договор #153/826 газификация компания `газстройинвест`. рамка договор проведение газ оплачиваться заказчик 100% размере. 1 июнь 2021 год государственный дума принять третий чтение изменение закон газоснабжение рф. именно, газ газ граница участок домовладение быть проводить привлечение средство граждан. вопрос состоять том, быть компенсировать стоимость газификации, провести счёт собственный средств, это произойдёт? обратиться дать вопросу?",несвоевременный (некачественное) строительство инженерный сеть микрорайон ижс,Администрация Курского района,3.0,11,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1032,"<p>посёлок находиться красный зоне. школа очень заболевших,дести ,чий родственник больной коронавирусом, продолжать посещать занятия.больных,с поражение лёгкий отказываться госпитализировать. больной каждый день всё больше.</p>",мера поддержка условие неблагоприятный эпидемиологический ситуация сфера образование,Комитет здравоохранения Курской области,6.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
774,"<p>после 19.00 ч проспект а. дериглазов ходить маршрут пос. северный - магистральный проезд, пос. северный - микрорайон волокно. пересадка дать район добраться невозможно.&nbsp;</p>",недостаточный количество транспорт маршрут осуществление муниципальный (пригородных) перевозка,Департамент пассажирского транспорта города Курска,8.0,40,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
386,"<p> проезжий части, подъезд дом 69б ул. карла маркс заросль деревьев, кустарник скопить мусором. дворник убирать дворе. подъездов.</p>",некачественный уборка дворовый территория многоквартирный дом,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2127,"территория выглядеть непотребно, свальный мусор, вырасти заросль сорняк сухостоя. просить выяснить, отвечать уборка территория заставить привести порядок. вечером страшно ходить мимо!",неудовлетворительный уборка улица тротуар,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1628,"<p>проблема озвучить ранее. решение вопрос письмо приложить файлах. обещанно устранить проблема весенний период 2022. связь неблагоприятный погода ставить машина выходить она стать возможно, возможно остаться чистым. бордюр занимать место стоянке, который хватает. убрать плита забор детский сада.&nbsp;</p>",несвоевременный восстановление нарушить благоустройство проведение ремонтный работа,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3.0,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
864,<p>несанкционированный свалка</p>,несанкционированный свалка твёрдый бытовой отход,Администрация Касторенского района,16.0,8,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
263,"<p>добрый день. обращаться проблема организация пешеходный переход ул. аэродромная. ответ получить декабрь 2019 года: “<span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>комитет дорожный хозяйство город курск рассмотреть обращение, поступить официальный сайт «действовать вместе!». результат рассмотрение сообщаем, ваш предложение повод пешеходный переход рассмотреть следующий год ,так отсутствовать возможность нанесение дорожный разметка соответствие гост. председатель комитет дорожный хозяйство город курск д.в. ходеев</span>”.<br>хотеться отметить, проблема решена. хотя-бы привести иметься пешеходный переход надлежащий состояние. он невозможно переходить улица ребёнок (особенно малолетний инвалидами) человек ограниченный возможностями. час пик перейти аэродромный практически реально нормальный пешеходный переход решить проблему. человек просто вынудить перебегать улицу, самый создавать повышенный опасность дтп.</p>",пешеходный переход дорога микрорайон ижс,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
968,"<p>здравствуйте. острый боль живот &nbsp;скорый отвезти пациентка приёмный отделение. выйти хирург, осмотрел, сделать узи &nbsp;ть течение 5 мин, взять анализ отправить пациентка домой. отделение заставить подписать отказ госпитализация отправить домой. &nbsp;человек просто разгибается, боль сильная, пол год назад вывести прямой кишку, врач внимание обратил. &nbsp;ич вопрос, `а мы делать`? ответили:- дать справка выпить обезболивающее. попросить оставить утро &nbsp;( плохой станет). сказать справка, едьте. такой справка, человек острый боль? спросила, утро станет, дать справка. получить ответ:- “ваша проблеммы”. &nbsp;чтый хамский отношение врачей?</p>",неудовлетворительный качество оказание медицинский помощь,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2355,провал ливнёвка проезжий части.,ливневый канализация,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1668,"<p>владимир владимирович путин говорить возрождение деревень. железногорский район курский область произойти объединение сельский советов. территория объединить линецкий сельский совет сел, деревень, хуторов, который сильно разбросать радиус 7-15 км. поэтому год советский власть территория объединить сельский совет построить несколько школ. идти годы, молодёжь село уезжать город. ребёнок остаться мало, школа остаться 3 (радубежский оош, линецкий сош, нижнеждановский сош). деревня бывший нижнеждановский с/с самый отдалить районный центра. бывший руководство фатежский района, который принадлежать нижнеждановский линецкий с/с поставить задача возрождение деревень. цель построить посёлок, подвести газ, 2007 год (теперь с/с принадлежать железногорский району) постоить новый школу. соответствовать современный требованиям. иметься компьютерный класс, оборудовать мастерская, спортзал, работать столовая. сила ребёнок учитель школа открыть музей боевой трудовой слава наш односельчан, создать галерея бессмертный полка. ребёнок помогать ухаживать памятник погибший односельчанин твёрдо знают, никто забытый ничто забыто. некоторый выпускник оставаться служить армия контракту, настоящий время участвовать военный спецоперация донбассе. вроде стать получаться, деревня поселиться молодой семья детьми. два школа линецкий с/с закрытый (радубежский оош линецкий сош). выделить автобус ребёнок этот школа стать подвозить новый мкоу “нижнеждановский сош”. 2022-2023 учебный год должный обучаться 51 ребёнок линецкий с/с, 8 первоклассников. глава администрация железногорский район фролковы а.д. выносить решение реорганизация школы, ссылаться указание комитет образование курский области, где, якобы, принять решение ликвидировать 5 школа железногорский района. ребёнок хотеть выгнать, новый здание куда? продать? молодой семья ребёнок возмущены, многие приехать д. верхний жданово потому, школа. закрыть школа объединить сельский совет тема самый перечеркнуть все, сделать программа возрождение деревни. неужели наш страна настолько бедна, позволить содержание хотя один школа территория объединить сельский советов. закончиться возрождение деревня линецкий с/с, школа - значит будущего. деревня верхний жданово закрыть дом культуры, детский сад, почтовый отделение. наверное, руководство хотеть закрыть школу, окончательно уничтожить деревню. мы, житель линецкий сельский совета, обращаться просьбой: позволить уничтожить наш деревни, помочь отстоять наш школу.</p>",отсутствие школа микрорайон (сельский территории),Администрация Железногорского района,7.0,5,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2581,"место пересечение тротуар улица 50 год октябрь въезд прилегать территория ао `авиаавтоматика` асфальтный покрытие значительный количество песка, убрать зимы. просить привести место пересечение тротуар въезд прилегать территория нормативный состояние.",неудовлетворительный уборка улица тротуар,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
