id,Текст Сообщения,Тематика,Ответственное лицо,Категория,Ответственное,persons
628,"<p>здравствуйт, мочь поставить ребёнок очередь детский сад госуслуги. указано, дать услуга недоступный наш регионе, хотя два неделя мой последний попытка 26 июнь подать было! урегулировать это вопрос, человек смочь записать ребёнок очередь?</p>",вопрос предоставление государственный муниципальный услуга,Комитет цифрового развития и связи Курской области,2.0,65,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
524,<p>дом разрисовать вандальный надписями. ук бездействует. самостоятельно заявка жалоба видимо решить данный вопрос сила ‍</p>,"неудовлетворительный содержание фасад здание сооружений, общественный место",Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
1887,"пешеходный переход район дом №7, №10 2020 год выявить дефект водоотводный системы, препятствовать сбор отведение вода проезжий части. информация первый заместитель губернатор курский область с.ю.набокий подрядчик должный устранить дефект конец сентябрь 2020 года. однако 04 февраль 2021 год данный пешеходный переход очередной обнаружить наличие вода край проезжий части, создавать помеха движение пешеходов. аналогичный дефект иметься пешеходный переход район дом №1 №2 проспект дружбы. просить краткий срок повторно направить предписание подрядчик цель устранение дефект приведение дорога надлежащий состояние.",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1605,"<p>ребёнок ждать 5 месяц очередь лечебный массаж, идти получать направление пригласить массаж!!!</p>",неудовлетворительный качество оказание медицинский помощь,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
783,"<p style=`text-align:justify;`>добрый день. ранее сообщать свой проблеме.</p><p style=`text-align:justify;`>ть ночь 18 19 июнь 2021 года, примерно 00 час 30 минута я, бабанин кристина александрович двигаться принадлежать автомобиль форд фокус 3, гос. номер м468рт46, проезжий части, расположить адресу: курский обл., советский район, п. кшенский, ул. ленина,28. ход движение совершить наезд выбоина проезжий часть автодороги.</p><p style=`text-align:justify;`>ть результат попадание яма повредить диск левый передний колесо левый задний колеса, произойти разрыв покрышка левый передний колеса.</p><p style=`text-align:justify;`>стоимость ремонтный работа составить 4000 (четырь тысяча рублей).</p><p style=`text-align:justify;`>ст. инспектор огибдд омвд россия советский район курский область произвести фиксация нарушение дорожный покрытия.</p><p style=`text-align:justify;`>по сообщение администрация советский район курский области, посредством подача обращение официальный интернет-портал администрация курский область «действовать вместе», данный участок автодорога передать апрель 2021 года&nbsp; комитет транспорт автомобильный дорога курский области.&nbsp;</p><p style=`text-align:justify;`>мный составить обращение возмещение ущерб комитет транспорт автомобильный дорога курский области, получить ответ комитет признать виновный ненадлежащий содержание дорог, находиться ведомстве, указав, фотография ямы, прислать мной&nbsp;</p><p style=`text-align:justify;`>цитата: `представить заявитель фото повредить участок автомобильной<br>дорогий мочь служить доказательство наличие выбоина участок дорога по<br>ул. ленин район дом № 28 п. кшенский советский район курской<br>области, произойти дтп, поскольку фото иметь привязка местности<br>(конкретный участок автомобильный дороги), средство фотографирование не<br>иметь сведение сертификации, сведение дата производства<br>фотографирования`.</p><p style=`text-align:justify;`>просить направить сотрудник комитет транспорт автомобильный дорога курский область иной причастный ситуация лицо выбоина адресу: курский обл., советский район, п. кшенский, ул. ленина,28 убеждение они наличие последующий устранению.</p><p style=`text-align:justify;`>кром того, сообщаю, значительный выбоина иметься протяжение участок дороги, расположить п. кшенский советский район курский области, передать комитет транспорт автомобильный дорога курский области.&nbsp;</p><p style=`text-align:justify;`>акт выявить недостаток содержание дорог, дорожный сооружение технический средство организация дорожный движения, фотография выбоина повредить колесо прилагаю.&nbsp;</p>",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет транспорта и автомобильных дорог Курской области,0.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
532,"<p>здравствуйте! село рудавец обоянский р-на третий день вода столь жаркий погоду, такой риск пожароопастость мы никто давать разъяснений, ждать водоснабжения. ждать ваш помощи. спасибо!</p>",некачественный водоснабжение район частное сектор,Администрация Обоянского района,3.0,16,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
985,"<p>здравствуйте! просить помочь решить проблема - полгода течь ливневка 1м подъезд 1м этаже, 2м подъезд время дождь вода попадать интернет-проводы крыша лестничный клетка 9го этаж (провайдер сообщаться неоднократно). обращать внимание, год назад наш мкд начать капитальный ремонт крыши, который включать число замена ливневки. специалист подрядчик (по ремонт крыши) управлять компания друг друг перекладывать ответственность. считаем, полгода вопрос закрыть желании.</p>",некачественный капитальный ремонт многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
343,"<ul><li><span style=`color:hsl(0,0%,0%);`>здравствуйте. неоднократно писать разный инстанция парковка автомобиль газон школа 54 детский сад 119 120. постоянно стоять автомобиль никакой штраф помеха!!! один отписки, “ воз ныне там”!!! жить 1987 год ездили, это пешеходный зона. ставить знаки,т.к. априори ходить люди!! газон превратить грязь, дорога разбита. самый вдоль дом пр-д сергеев 4.</span></li></ul>",парковка дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2238,"наш деревня ванина, именно улица садовая, активно расползаться опасный сорняк – борщевик сосновского. фото видно, твориться захватить территориях. растения, кроме агрессора, гибнуть вымирают. вместо любимый природный место отдых – пейзаж фильм ужасов. ядовитый сок борщевик вызывать ожог коже, повредить глаза. особенно страшно, такой случаться детьми. просьба краткий срок принять мера уничтожению.",нескошенный сорный растительность место общий пользование район частное сектр,Администрация Октябрьского района,3.0,17,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
356,"<p>добрый день! проблема наш ук ооо жилкомплекс дружба. никак мочь заставить работать компанию. просто собирать деньга все. например сейчас, жить квартира 185, 1,5 месяц горячий воды. вода ранее проблемы, например, искупаться приходиться время вода сливать, пойти тёплый вода. именно тёплая,горячий видели. жаловаться конечно, оставлять заявки, особо меняться весь подъезде. нижний этажи, вода сливать тёплая. жаловались, некоторый прокуротура жаловаться жилинспекция инспекцию, менялось. дойти того, слив помогать - вода идти холодный горячее крана. 1,5 месяца, оставлять заявка наш ук. во-первых, приходить сразу, 3-4 день, сантехник, пять домов. во-вторых, что-то быстро покрутят, вода горячий появляться ровно сутки. далее кругу. 29 апрель наш ук вообще отключить телефон, дозвониться никто может. насколько знать жкх работать 4-7число, наш - нет. звонить несколько аварийную, говорили, директор сам позвонить передать заявку. вода появилась. остальной делается, порок возле 8 подъезд - обсыпались, год подавать заявка я, сосед - сделали. почтовый ящик просить поменять, год, ничего. ремонт подъезд обещать сделать, сделали. красят, белят, другой домах, подвал страшно представить, вода горячий нет, творится. уборщица мы полгода приходит, одна. единственный дворник, кот. что-то делать все. жаловаться остальной четыре дома, кот. балансе. жалоба писать везде, привлекать телевидение. осталось, было. просить помочь решение проблемы. разобраться, иметь право лицензия один сантехник, один уборщица бездействие желание работать, из-под палка дать ук. пытаться уйти другую, набирать определённый кол-в процентов, многие дом живут. хороший компания брать хотят, долг дом полуаварийный, хотя 11 лет. плюс агитацидобрый день! проблема наш ук ооо жилкомплекс дружба. никак мочь заставить работать компанию. просто собирать деньга все. например сейчас, жить квартира 185, 1,5 месяц горячий воды. вода ранее проблемы, например, искупаться приходиться время вода сливать, пойти тёплый вода. именно тёплая,горячий видели. жаловаться конечно, оставлять заявки, особо меняться весь подъезде. нижний этажи, вода сливать тёплая. жаловались, некоторый прокуротура жаловаться жилинспекция инспекцию, менялось. дойти того, слив помогать - вода идти холодный горячее крана. 1,5 месяца, оставлять заявка наш ук. во-первых, приходить сразу, 3-4 день, сантехник, пять домов. во-вторых, что-то быстро покрутят, вода горячий появляться ровно сутки. далее кругу. 29 апрель наш ук вообще отключить телефон, дозвониться никто может. насколько знать жкх работать 4-7число, наш - нет. звонить несколько аварийную, говорили, директор сам позвонить передать заявку. вода появилась. остальной делается, порок возле 8 подъезд - обсыпались, год подавать заявка я, сосед - сделали. почтовый ящик просить поменять, год, ничего. ремонт подъезд обещать сделать, сделали. красят, белят, другой домах, подвал страшно представить, вода горячий нет, творится. уборщица мы полгода приходит, одна. единственный дворник, кот. что-то делать все. жаловаться остальной четыре дома, кот. балансе. жалоба писать везде, привлекать телевидение. осталось, было. просить помочь решение проблемы. разобраться, иметь право лицензия один сантехник, один уборщица бездействие желание работать, из-под палка дать ук. пытаться уйти другую, набирать определённый кол-в процентов, многие дом живут. хороший компания брать хотят, долг дом полуаварийный, хотя 11 лет. плюс агитация начинаться наш ук, деньга все. например сейчас, жить квартира 185, 1,5 месяц горячий воды. вода ранее проблемы, например, искупаться приходиться время вода сливать, пойти тёплый вода. именно тёплая,горячий видели. жаловаться конечно, оставлять заявки, особо меняться весь подъезде. нижний этажи, вода сливать тёплая. жаловались, некоторый прокуротура жаловаться жилинспекция инспекцию, менялось. дойти того, слив помогать - вода идти холодный горячее крана. 1,5 месяца, оставлять заявка наш ук. во-первых, приходить сразу, 3-4 день, сантехник, пять домов. во-вторых, что-то быстро покрутят, вода горячий появляться ровно сутки. далее кругу. 29 апрель наш ук вообще отключить телефон, дозвониться никто может. насколько знать жкх работать 4-7число, наш - нет. звонить несколько аварийную, говорили, директор сам позвонить передать заявку. вода появилась. остальной делается, порок возле 8 подъезд - обсыпались, год подавать заявка я, сосед - сделали. почтовый ящик просить поменять, год, ничего. ремонт подъезд обещать сделать, сделали. красят, белят, другой домах, подвал страшно представить, вода горячий нет, творится. уборщица мы полгода приходит, одна. единственный дворник, кот. что-то делать все. жаловаться остальной четыре дома, кот. балансе. жалоба писать везде, привлекать телевидение. осталось, было. просить помочь решение проблемы. разобраться, иметь право лицензия один сантехник, один уборщица бездействие желание работать, из-под палка дать ук. пытаться уйти другую, набирать определённый кол-в процентов, многие дом живут. хороший компания брать хотят, долг дом полуаварийный, хотя 11 лет. плюс агитацидобрый день! проблема наш ук ооо жилкомплекс дружба. никак мочь заставить работать компанию. просто собирать деньга все. например сейчас, жить квартира 185, 1,5 месяц горячий воды. вода ранее проблемы, например, искупаться приходиться время вода сливать, пойти тёплый вода. именно тёплая,горячий видели. жаловаться конечно, оставлять заявки, особо меняться весь подъезде. нижний этажи, вода сливать тёплая. жаловались, некоторый прокуротура жаловаться жилинспекция инспекцию, менялось. дойти того, слив помогать - вода идти холодный горячее крана. 1,5 месяца, оставлять заявка наш ук. во-первых, приходить сразу, 3-4 день, сантехник, пять домов. во-вторых, что-то быстро покрутят, вода горячий появляться ровно сутки. далее кругу. 29 апрель наш ук вообще отключить телефон, дозвониться никто может. насколько знать жкх работать 4-7число, наш - нет. звонить несколько аварийную, говорили, директор сам позвонить передать заявку. вода появилась. остальной делается, порок возле 8 подъезд - обсыпались, год подавать заявка я, сосед - сделали. почтовый ящик просить поменять, год, ничего. ремонт подъезд обещать сделать, сделали. красят, белят, другой домах, подвал страшно представить, вода горячий нет, творится. уборщица мы полгода приходит, одна. единственный дворник, кот. что-то делать все. жаловаться остальной четыре дома, кот. балансе. жалоба писать везде, привлекать телевидение. осталось, было. просить помочь решение проблемы. разобраться, иметь право лицензия один сантехник, один уборщица бездействие желание работать, из-под палка дать ук. пытаться уйти другую, набирать определённый кол-в процентов, многие дом живут. хороший компания брать хотят, долг дом полуаварийный, хотя 11 лет. плюс агитация начинаться наш ук, мошенники, хорошие.</p>",некачественный водоснабжение многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
2560,"12.07.21 я сделать первый прививка, 15.07.21 позвонить поликлиника сказать взять справку, дать гос. услуга появились. прийти получить её 315 каб. записать мой фамилию, обещать вбить. сегодня 28.07.21 данные гос. услуга нет, сотрудники, который неделя поздний прививаться иметь дать гос. услугах. просить разобраться проблемой.",дневник самонаблюдение,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2735,"складирование строительный материалов, братский могила погибнуть воин воинский мемориал",неудовлетворительный содержание парковый сквер,Администрация г. Дмитриева,3.0,30,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1384,<p>здравствовать обращаться кто никто слышать курский область обоянский район посёлок рудавский вода 2 час утром идти обед вечером лето мы говорить человек поливать огород зима вода осень было</p>,некачественный водоснабжение район частное сектор,Администрация Обоянского района,3.0,16,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1082,"<p>хотеться благоустроль сквер сах.завод возле библиотеки. строить площадка напротив жд вокзала, построить площадка тут, сквере, это место красивое, убрать все.&nbsp;</p>",необходимо строительство детский (спортивной) площадка микрорайон ижс,Администрация города Льгов,3.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
907,"<p>курский район, посёлок сахаровка, д. 80.&nbsp;</p><p>д территория воинский часть рядом клюквинский средний школа курский района, сам сахаровке, просто адрес такой.</p><p>два неделя дом горячий воды. прорвать труба подвале. аварийка перекрыть воду. &nbsp;холодный напор - верхний этаж еле доходит. управлять компания ооо “ук энергия” отвечает, телефон берет. делает. сколько это продолжатся? кто обращаться?</p><p>ждать ваш ответ месяц? возможность работать побыстрее? это всё-таки аварийный ситуация.</p>",некачественный водоснабжение многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
1858,вывозить картон 2 неделя,соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
564,"<p>добрый день!&nbsp;</p><p>хотеться мик-не льгов 1 увидеть сквер распологаться спортивный тренажёр детский площадкой. год наш область объявить год благоустройств, давать сидеть, участвовать возможный проектах. надеяться скоро появиться благоустроенный территория данный мик-не.&nbsp;</p>",неудовлетворительный содержание парковый сквер,Администрация города Льгов,3.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
1277,"<p>хотеть попросить вы, совместно атэла пустить маршрут курск-теткино, луидор-2250ds (газ next) гос № 186 мр 46.</p><p>дать газель оборудовать просторный площадка человек ограниченный возможностями, самый человек смочь ездить город город инвалидный коляске. &nbsp;надеяться ваш понимание понимание транспортный компании.</p>",неудовлетворительный санитарный состояние транспорт осуществление внутриобластной междугородный перевозка,Комитет транспорта и автомобильных дорог Курской области,8.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
761,"<p>дополнение <span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>сообщение №:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>100299&nbsp;</strong></span></p><p><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>честно прождать месяц сообщение выполнении, всё остаться по-прежнему. знак было, нет, машина ездить пешеходный зоне, ездят. интересно, сколько время нужно установка знака?</strong></span></p>",дорожный знак дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1070,"<p>очередной долгострой `квадры`. август разрыли, сентябрь наспех закопали. центральный вход парк дзержинский выглядеть омерзительно, &nbsp; пешеход переходить ул. бочаров вне перехода. вернуть первоначальный вид? ждать заморозков?</p>",несвоевременный восстановление нарушить благоустройство проведение ремонтный работа,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3.0,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2358,"здравствуйте! просить покосить трава вдоль улица резиновый прилегающих. трава человеческий рост, проезжать перекрёсток просто опасно.",нескошенный сорный растительность место общий пользование микрорайон ижс,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
632,<p>сорный трава</p>,нескошенный сорный растительность место общий пользование район частное сектр,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
67,<p>просить направить письмо руководство сах.завод заменить флаг рф.</p>,неудовлетворительный санитарный состояние благоустройство памятник,Администрация города Льгов,5.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
384,"<p>здравствуйте!&nbsp;</p><p>мы, житель дом 166,168,170,172 ул.5-я кислинский просить разобраться проблема плохой подача холодный воды. начинать осень 2020г холодный вода течь крановый маленький струйкой. неоднократно обращаться водоканал наш проблемой. мы говорили, искать причину, однако осень воз ныне там. это том, ещё полив приусадебный участков. нормальный напор вода ночью.&nbsp;</p><p>ич связать наш проблема открытие автомойка рядом нами? очень надеемся, ситуация близкий время изменится. спасибо!&nbsp;</p>",некачественный водоснабжение район частное сектор,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2865,"здравствуйте! 21.09 жилец дом 97/2 ул.ленин г.железногорск курский область, обращаться ук «жилсервис зжбить 3» повод составление акт ущербу, нанести дождем! телефон столкнуться хамство полный некомпетентность диспетчер новикова. вопрос отвечать знать ничего, вешать трубка выслушать проблема конца! ук должный сохраниться запись разговоров, избавились!",неэтичный поведение руководство работник управлять компания,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
2039,"добрый вечер! месяц назад крюковский поворот провести работа починка водопровода. ям проделать работа засыпать были, хотя достаточный количество техники. итог: ямы, который начало трескаться дорожный покрытие, дорога находиться возвышенности, большой количество грязи. просить разобраться такой вопиять пренебрежение работе!",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1385,"<p>добрый день. 10 январь 2022г., улица прилужный заречный чистить улица снега.</p><p>администрация сельский совет принимать какой &nbsp;действий, вопрос важен. просьба обратить это внимание регулярный основе, жалоба чистить улица снега.&nbsp;</p>",очистка снег наледь дорога граница городской округ сельский поселение,Администрация Курского района,0.0,11,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1529,<p>сломать крышка люк рядом отдел полиции</p>,отсутствие люковый коммуникационный колодец,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3.0,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2486,"горячий вода 14, пао квадра нарушать закон! согласно пункт 3.1.11. санпин 2.1.4.2496-09 период ежегодный профилактический ремонт отключение система горячее водоснабжение должный превышать 14 суток. просить компенсировать каждый день вода неустойка размер 1000р день каждый владелец квартиры.",некачественный водоснабжение многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
2730,"развилка дорога володарский - а.аристарховой, возле дом 27 ул володарского, находиться муниципальный земельный участок. полностью зарасти травой, куст леревие высотрть 5-7 метров!!! полностью отсутствовать просмотр дорога водителей, составлять угроза пешеходов, который пытвютмить перейти дорогу, число дети, который дорога скоро пойти шуолы!!! дерево создавать угроза порыв линия электропередачи, т.к. провод полностью переплестись ветками. сильный ветер несколько прийтись вызывать аварийный службу, связь порыв проводы отсутствие электричества. наведите, пожалуйста, порядок! убрать дерево покосить куст траву!!!",неудовлетворительный содержание клумба газон,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
2050,"дорожный покрытие вообще, ездить ходить возможно",отсутствие твёрдый дорожный покрытие дорога граница городской округ сельский поселение,Администрация города Льгов,0.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
98,<p>просить сделать безопасный трамвайный остановка “центральный рынок” &nbsp;дать остановка соответсовать требование который написанный минестерство транспорта. обеспечить близкий время безопасный остановка быть писать другой органы. &nbsp;ич дать остановка должный стоять забор павильон также пандус маломобильный граждан.&nbsp;</p>,нарушение правило посадка высадка пассажир осуществление муниципальный (пригородных) перевозка,Администрация города Курска,8.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1923,"наледь. очистить дорога деревня 1-й моква, ул. школьный",отсутствие твёрдый дорожный покрытие дорога граница городской округ сельский поселение,Администрация Курского района,0.0,11,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
2659,детский площадка ужасный состояние,неудовлетворительный содержание детский (спортивной) площадка территория многоквартирный дом,Комитет жилищно-коммунального хозяйства города Курска,3.0,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
853,"<p>здравствуйте.хотаться уточнить, город новый система покос травы.ть сквер веспремский трава протяжение лето несколько косилась, против дом №9 рядом гараж разу.</p>",нескошенный сорный растительность место общий пользование район частное сектр,Комитет городского хозяйства города Курска,3.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
301,"<p>вот такой неудовлетворительный санитарный состояние находиться территория тротурар рядом тц еропа,почта гелиусом.</p>",неудовлетворительный уборка улица тротуар,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
932,<p>мусор мусорный контейнеона площадка лететь близкий дома. территория возле площадка убирается. почему дом должный убирать территория принадлежащий ему? требовать организовать ежедневный уборку. мусор мусорный контейнеона площадка лететь близкий дома. территория возле площадка убирается. почему дом должный убирать территория принадлежащий ему? требовать организовать ежедневный уборку.&nbsp;</p>,соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Комитет городского хозяйства города Курска,3.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
2066,просить принять меры. постоянно припарковать тротуар авто мешать проход пешеход,парковка дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2366,"отдельный сообщение ввиду отсутствие технический возможность добавить фотография сообщение проблема √ 95070, находиться рассмотрение (доработка 22.06.21). ответ указана, сорный растительность убрана. вечером идти дать улице. предоставить информация оказаться неверной. частично трава покошена, месте, фотография который приложить мною, начало весна покос уборка (обрезки, спить итд) высокий травы, кустарник было. очень длительный период ожидание ответ (30 дней), далее отправка доработка (ещё 30 дней), лето пройдет, косить? трава некоторый место выше рост человека. просить убрать! заранее благодарить жителей.",нескошенный сорный растительность место общий пользование микрорайон ижс,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1477,"<p>вследствие отсутствие уборка снег наледь южный переулке, г. курска, являться дорога общий пользование (постановление администрация город курск курский область №813 13 март 2013г.), создать угроза жизнь здоровье граждан, передвигаться вышеуказанный дороге, проживать южный переулке. проезд спец транспорт (скора помощи, пожарный автомобилей, транспорт аварийный служб) невозможен. связь вышеизложенный просить провести необходимый организационный действие решение указанный вопроса, именно очистка южный переулок снежный масса наледи.&nbsp;</p>",очистка снег наледь дорога граница городской округ сельский поселение,Администрация Центрального округа города Курска,0.0,28,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
